Id,Geography,Total; Estimate; Total population
1600000US0120152,"Deer Park CDP, Alabama",81
1600000US0120272,"Delta CDP, Alabama",221
1600000US0120296,"Demopolis city, Alabama",6999
1600000US0120392,"Detroit town, Alabama",187
1600000US0120955,"Dodge City town, Alabama",569
1600000US0121136,"Dora city, Alabama",2212
1600000US0121184,"Dothan city, Alabama",67784
1600000US0121280,"Double Springs town, Alabama",1377
1600000US0121328,"Douglas town, Alabama",1202
1600000US0121448,"Dozier town, Alabama",313
1600000US0121890,"Dunnavant CDP, Alabama",899
1600000US0121952,"Dutton town, Alabama",382
1600000US0122216,"East Brewton city, Alabama",3017
1600000US0122504,"East Point CDP, Alabama",175
1600000US0122816,"Eclectic town, Alabama",983
1600000US0123032,"Edgewater CDP, Alabama",813
1600000US0123176,"Edwardsville town, Alabama",236
1600000US0123224,"Egypt CDP, Alabama",810
1600000US0123296,"Elba city, Alabama",3863
1600000US0123320,"Elberta town, Alabama",1612
1600000US0123344,"Eldridge town, Alabama",151
1600000US0123488,"Elkmont town, Alabama",446
1600000US0123656,"Elmore town, Alabama",1717
1600000US0123872,"Emelle town, Alabama",47
1600000US0123880,"Emerald Mountain CDP, Alabama",3104
1600000US0124184,"Enterprise city, Alabama",27776
1600000US0124256,"Epes town, Alabama",166
1600000US0124472,"Ethelsville town, Alabama",215
1600000US0124568,"Eufaula city, Alabama",12467
1600000US0124616,"Eunola CDP, Alabama",311
1600000US0124664,"Eutaw town, Alabama",2761
1600000US0124688,"Eva town, Alabama",584
1600000US0124808,"Evergreen city, Alabama",3742
1600000US0124880,"Excel town, Alabama",1092
1600000US0125120,"Fairfield city, Alabama",10850
1600000US0125216,"Fairford CDP, Alabama",87
1600000US0125240,"Fairhope city, Alabama",19561
1600000US0125384,"Fairview town, Alabama",522
1600000US0125648,"Falkville town, Alabama",1372
1600000US0125816,"Faunsdale town, Alabama",34
1600000US0125840,"Fayette city, Alabama",4421
1600000US0125864,"Fayetteville CDP, Alabama",1395
1600000US0126152,"Fitzpatrick CDP, Alabama",45
1600000US0126200,"Five Points town, Alabama",192
1600000US0126824,"Flomaton town, Alabama",1770
1600000US0126848,"Florala town, Alabama",1751
1600000US0126896,"Florence city, Alabama",39824
1600000US0126992,"Foley city, Alabama",17315
1600000US0127088,"Forestdale CDP, Alabama",10118
1600000US0127376,"Forkland town, Alabama",740
1600000US0127520,"Fort Deposit town, Alabama",1575
1600000US0127616,"Fort Payne city, Alabama",14017
1600000US0127640,"Fort Rucker CDP, Alabama",5149
1600000US0128024,"Franklin town, Alabama",192
1600000US0128120,"Fredonia CDP, Alabama",299
1600000US0128312,"Frisco City town, Alabama",1400
1600000US0128408,"Fruitdale CDP, Alabama",75
1600000US0128432,"Fruithurst town, Alabama",293
1600000US0128504,"Fulton town, Alabama",224
1600000US0128552,"Fultondale city, Alabama",9012
1600000US0128672,"Fyffe town, Alabama",1478
1600000US0128696,"Gadsden city, Alabama",35832
1600000US0128768,"Gainesville town, Alabama",231
1600000US0128816,"Gallant CDP, Alabama",604
1600000US0128936,"Gantt town, Alabama",167
1600000US0129032,"Garden City town, Alabama",498
1600000US0129056,"Gardendale city, Alabama",13799
1600000US0129296,"Gaylesville town, Alabama",194
1600000US0129392,"Geiger town, Alabama",306
1600000US0129464,"Geneva city, Alabama",4407
1600000US0129560,"Georgiana town, Alabama",1787
1600000US0129608,"Geraldine town, Alabama",906
1600000US0129704,"Gilbertown town, Alabama",162
1600000US0129944,"Glen Allen town, Alabama",412
1600000US0129992,"Glencoe city, Alabama",5116
1600000US0130160,"Glenwood town, Alabama",189
1600000US0130448,"Goldville town, Alabama",30
1600000US0130496,"Good Hope city, Alabama",2578
1600000US0130640,"Goodwater town, Alabama",1664
1600000US0130736,"Gordo town, Alabama",1825
1600000US0130760,"Gordon town, Alabama",289
1600000US0130808,"Gordonville town, Alabama",203
1600000US0130880,"Goshen town, Alabama",362
1600000US0131000,"Graham CDP, Alabama",79
1600000US0131024,"Grand Bay CDP, Alabama",4076
1600000US0131096,"Grant town, Alabama",1017
1600000US0131348,"Grayson Valley CDP, Alabama",5295
1600000US0131384,"Graysville city, Alabama",1983
1600000US0131720,"Greensboro city, Alabama",2452
1600000US0131912,"Greenville city, Alabama",7766
1600000US0132056,"Grimes town, Alabama",732
1600000US0132080,"Grove Hill town, Alabama",1555
1600000US0132224,"Guin city, Alabama",2413
1600000US0132248,"Gulfcrest CDP, Alabama",316
1600000US0132272,"Gulf Shores city, Alabama",11358
1600000US0132416,"Guntersville city, Alabama",8333
1600000US0132440,"Gurley town, Alabama",726
1600000US0132536,"Gu-Win town, Alabama",120
1600000US0132560,"Hackleburg town, Alabama",1281
1600000US0132584,"Hackneyville CDP, Alabama",306
1600000US0132656,"Haleburg town, Alabama",110
1600000US0132704,"Haleyville city, Alabama",3999
1600000US0132848,"Hamilton city, Alabama",6718
1600000US0132896,"Hammondville town, Alabama",549
1600000US0132968,"Hanceville city, Alabama",3297
1600000US0133256,"Harpersville town, Alabama",1486
1600000US0133424,"Hartford city, Alabama",2605
1600000US0133448,"Hartselle city, Alabama",14395
1600000US0133472,"Harvest CDP, Alabama",5839
1600000US0133544,"Hatton CDP, Alabama",119
1600000US0133640,"Hayden town, Alabama",1207
1600000US0133712,"Hayneville town, Alabama",1186
1600000US0133808,"Hazel Green CDP, Alabama",3554
1600000US0133856,"Headland city, Alabama",4648
1600000US0133904,"Heath town, Alabama",286
1600000US0133976,"Heflin city, Alabama",3448
1600000US0134024,"Helena city, Alabama",17928
1600000US0134096,"Henagar city, Alabama",1987
1600000US0134480,"Highland Lake town, Alabama",380
1600000US0134490,"Highland Lakes CDP, Alabama",5394
1600000US0134816,"Hillsboro town, Alabama",612
1600000US0134984,"Hissop CDP, Alabama",517
1600000US0135130,"Hobson CDP, Alabama",194
1600000US0135152,"Hobson City town, Alabama",1035
1600000US0135200,"Hodges town, Alabama",339
1600000US0135392,"Hokes Bluff city, Alabama",4294
1600000US0135512,"Hollins CDP, Alabama",905
1600000US0135536,"Hollis Crossroads CDP, Alabama",592
1600000US0135560,"Holly Pond town, Alabama",947
1600000US0135632,"Hollywood town, Alabama",1125
1600000US0135704,"Holt CDP, Alabama",3955
1600000US0135752,"Holtville CDP, Alabama",4402
1600000US0135800,"Homewood city, Alabama",25678
1600000US0135896,"Hoover city, Alabama",84150
1600000US0136088,"Horn Hill town, Alabama",265
1600000US0136448,"Hueytown city, Alabama",15698
1600000US0136592,"Huguley CDP, Alabama",2335
1600000US0137000,"Huntsville city, Alabama",190501
1600000US0137096,"Hurtsboro town, Alabama",514
1600000US0137264,"Hytop town, Alabama",460
1600000US0137312,"Ider town, Alabama",807
1600000US0137465,"Indian Springs Village city, Alabama",2578
1600000US0137864,"Irondale city, Alabama",12453
1600000US0138032,"Ivalee CDP, Alabama",915
1600000US0138152,"Jackson city, Alabama",4913
1600000US0138248,"Jacksons' Gap town, Alabama",804
1600000US0138272,"Jacksonville city, Alabama",12731
1600000US0138416,"Jasper city, Alabama",13854
1600000US0138608,"Jemison city, Alabama",2618
1600000US0139064,"Joppa CDP, Alabama",570
1600000US0139280,"Kansas town, Alabama",196
1600000US0139472,"Kellyton town, Alabama",215
1600000US0139520,"Kennedy town, Alabama",458
1600000US0139784,"Killen town, Alabama",1073
1600000US0139856,"Kimberly city, Alabama",2960
1600000US0140072,"Kinsey town, Alabama",2264
1600000US0140096,"Kinston town, Alabama",620
1600000US0140648,"Ladonia CDP, Alabama",2923
1600000US0140672,"La Fayette city, Alabama",2956
1600000US0140888,"Lakeview town, Alabama",170
1600000US0140928,"Lake View town, Alabama",2967
1600000US0141296,"Lanett city, Alabama",6341
1600000US0141368,"Langston town, Alabama",253
1600000US0141968,"Leeds city, Alabama",11847
1600000US0142016,"Leesburg town, Alabama",1156
1600000US0142160,"Leighton town, Alabama",990
1600000US0142304,"Leroy CDP, Alabama",690
1600000US0142352,"Lester town, Alabama",179
1600000US0142472,"Level Plains town, Alabama",2060
1600000US0142640,"Lexington town, Alabama",746
1600000US0142808,"Libertyville town, Alabama",111
1600000US0142928,"Lillian CDP, Alabama",1236
1600000US0143120,"Lincoln city, Alabama",6544
1600000US0143240,"Linden city, Alabama",2014
1600000US0143264,"Lineville city, Alabama",2491
1600000US0143336,"Lipscomb city, Alabama",2040
1600000US0143384,"Lisman town, Alabama",628
1600000US0143648,"Littleville town, Alabama",1152
1600000US0143720,"Livingston city, Alabama",3416
1600000US0143744,"Loachapoka town, Alabama",268
