Id,Geography,Total; Estimate; Total population
1600000US1757381,"Palos Heights city, Illinois",12545
1600000US1757394,"Palos Hills city, Illinois",17540
1600000US1757407,"Palos Park village, Illinois",4909
1600000US1757472,"Pana city, Illinois",5572
1600000US1757498,"Panama village, Illinois",279
1600000US1757524,"Panola village, Illinois",45
1600000US1757576,"Papineau village, Illinois",210
1600000US1757628,"Paris city, Illinois",8446
1600000US1757654,"Park City city, Illinois",7438
1600000US1757693,"Parkersburg village, Illinois",137
1600000US1757732,"Park Forest village, Illinois",21672
1600000US1757875,"Park Ridge city, Illinois",37810
1600000US1758057,"Patoka village, Illinois",560
1600000US1758174,"Pawnee village, Illinois",2682
1600000US1758226,"Paw Paw village, Illinois",749
1600000US1758239,"Paxton city, Illinois",4236
1600000US1758265,"Payson village, Illinois",1197
1600000US1758343,"Pearl village, Illinois",221
1600000US1758369,"Pearl City village, Illinois",868
1600000US1758408,"Pecatonica village, Illinois",2326
1600000US1758447,"Pekin city, Illinois",33747
1600000US1758577,"Penfield CDP, Illinois",143
1600000US1759000,"Peoria city, Illinois",115424
1600000US1759026,"Peoria Heights village, Illinois",5972
1600000US1759052,"Peotone village, Illinois",4180
1600000US1759104,"Percy village, Illinois",800
1600000US1759156,"Perry village, Illinois",292
1600000US1759234,"Peru city, Illinois",9947
1600000US1759273,"Pesotum village, Illinois",513
1600000US1759312,"Petersburg city, Illinois",2501
1600000US1759520,"Phillipstown village, Illinois",38
1600000US1759533,"Philo village, Illinois",1577
1600000US1759572,"Phoenix village, Illinois",2044
1600000US1759709,"Pierron village, Illinois",427
1600000US1759884,"Pinckneyville city, Illinois",5412
1600000US1759988,"Pingree Grove village, Illinois",6661
1600000US1760079,"Piper City village, Illinois",882
1600000US1760144,"Pistakee Highlands CDP, Illinois",3318
1600000US1760209,"Pittsburg village, Illinois",475
1600000US1760222,"Pittsfield city, Illinois",4557
1600000US1760287,"Plainfield village, Illinois",41978
1600000US1760339,"Plainville village, Illinois",349
1600000US1760352,"Plano city, Illinois",11863
1600000US1760391,"Plattville village, Illinois",263
1600000US1760534,"Pleasant Hill village, Illinois",1210
1600000US1760599,"Pleasant Plains village, Illinois",860
1600000US1760833,"Plymouth village, Illinois",399
1600000US1760872,"Pocahontas village, Illinois",795
1600000US1760937,"Polo city, Illinois",2105
1600000US1761015,"Pontiac city, Illinois",12047
1600000US1761067,"Pontoon Beach village, Illinois",5881
1600000US1761080,"Pontoosuc village, Illinois",96
1600000US1761145,"Poplar Grove village, Illinois",4687
1600000US1761216,"Port Barrington village, Illinois",1530
1600000US1761223,"Port Byron village, Illinois",1825
1600000US1761314,"Posen village, Illinois",6371
1600000US1761366,"Potomac village, Illinois",630
1600000US1761548,"Prairie City village, Illinois",408
1600000US1761639,"Prairie du Rocher village, Illinois",626
1600000US1761678,"Prairie Grove village, Illinois",1840
1600000US1761821,"Prestbury CDP, Illinois",1655
1600000US1761860,"Preston Heights CDP, Illinois",2817
1600000US1761899,"Princeton city, Illinois",7698
1600000US1761925,"Princeville village, Illinois",1907
1600000US1761977,"Prophetstown city, Illinois",2076
1600000US1762016,"Prospect Heights city, Illinois",16345
1600000US1762211,"Pulaski village, Illinois",237
1600000US1762367,"Quincy city, Illinois",40587
1600000US1762523,"Radom village, Illinois",159
1600000US1762588,"Raleigh village, Illinois",323
1600000US1762627,"Ramsey village, Illinois",1225
1600000US1762744,"Rankin village, Illinois",548
1600000US1762757,"Ransom village, Illinois",370
1600000US1762783,"Rantoul village, Illinois",13190
1600000US1762822,"Rapids City village, Illinois",1037
1600000US1762848,"Raritan village, Illinois",81
1600000US1762965,"Raymond village, Illinois",966
1600000US1763043,"Red Bud city, Illinois",3576
1600000US1763056,"Reddick village, Illinois",242
1600000US1763069,"Redmon village, Illinois",137
1600000US1763355,"Rentchler CDP, Illinois",6
1600000US1763420,"Reynolds village, Illinois",523
1600000US1763641,"Richmond village, Illinois",2029
1600000US1763706,"Richton Park village, Illinois",13661
1600000US1763719,"Richview village, Illinois",279
1600000US1763862,"Ridge Farm village, Illinois",862
1600000US1764018,"Ridgway village, Illinois",877
1600000US1764044,"Ridott village, Illinois",174
1600000US1764135,"Ringwood village, Illinois",769
1600000US1764148,"Rio village, Illinois",204
1600000US1764174,"Ripley village, Illinois",79
1600000US1764278,"Riverdale village, Illinois",13025
1600000US1764304,"River Forest village, Illinois",11215
1600000US1764343,"River Grove village, Illinois",10232
1600000US1764421,"Riverside village, Illinois",8838
1600000US1764486,"Riverton village, Illinois",3457
1600000US1764538,"Riverwoods village, Illinois",3683
1600000US1764590,"Roanoke village, Illinois",2125
1600000US1764616,"Robbins village, Illinois",5203
1600000US1764655,"Roberts village, Illinois",440
1600000US1764707,"Robinson city, Illinois",7589
1600000US1764746,"Rochelle city, Illinois",9293
1600000US1764759,"Rochester village, Illinois",3707
1600000US1764811,"Rockbridge village, Illinois",183
1600000US1764837,"Rock City village, Illinois",319
1600000US1764902,"Rockdale village, Illinois",2048
1600000US1764928,"Rock Falls city, Illinois",8898
1600000US1765000,"Rockford city, Illinois",148640
1600000US1765078,"Rock Island city, Illinois",38560
1600000US1765104,"Rock Island Arsenal CDP, Illinois",52
1600000US1765156,"Rockton village, Illinois",7474
1600000US1765221,"Rockwood village, Illinois",28
1600000US1765338,"Rolling Meadows city, Illinois",23418
1600000US1765403,"Rome CDP, Illinois",1767
1600000US1765442,"Romeoville village, Illinois",39682
1600000US1765481,"Roodhouse city, Illinois",1807
1600000US1765611,"Roscoe village, Illinois",10571
1600000US1765754,"Rose Hill village, Illinois",77
1600000US1765806,"Roselle village, Illinois",22925
1600000US1765819,"Rosemont village, Illinois",4871
1600000US1765845,"Roseville village, Illinois",981
1600000US1765884,"Rosewood Heights CDP, Illinois",3981
1600000US1765897,"Rosiclare city, Illinois",761
1600000US1765962,"Rossville village, Illinois",1452
1600000US1766027,"Round Lake village, Illinois",18533
1600000US1766040,"Round Lake Beach village, Illinois",27825
1600000US1766053,"Round Lake Heights village, Illinois",3202
1600000US1766066,"Round Lake Park village, Illinois",8203
1600000US1766131,"Roxana village, Illinois",1704
1600000US1766157,"Royal village, Illinois",300
1600000US1766196,"Royal Lakes village, Illinois",163
1600000US1766209,"Royalton village, Illinois",1166
1600000US1766287,"Ruma village, Illinois",287
1600000US1766339,"Rushville city, Illinois",2944
1600000US1766404,"Russellville village, Illinois",102
1600000US1766443,"Rutland village, Illinois",216
1600000US1766534,"Sadorus village, Illinois",325
1600000US1766599,"Sailor Springs village, Illinois",99
1600000US1766638,"St. Anne village, Illinois",1390
1600000US1766677,"St. Augustine village, Illinois",112
1600000US1766703,"St. Charles city, Illinois",32730
1600000US1766768,"St. David village, Illinois",633
1600000US1766794,"St. Elmo city, Illinois",1307
1600000US1766800,"Ste. Marie village, Illinois",309
1600000US1766833,"St. Francisville city, Illinois",586
1600000US1766859,"St. Jacob village, Illinois",1290
1600000US1766924,"St. Johns village, Illinois",247
1600000US1766950,"St. Joseph village, Illinois",4292
1600000US1766989,"St. Libory village, Illinois",506
1600000US1767132,"St. Peter village, Illinois",495
1600000US1767158,"St. Rose village, Illinois",466
1600000US1767236,"Salem city, Illinois",7044
1600000US1767372,"Sammons Point village, Illinois",284
1600000US1767444,"Sandoval village, Illinois",1269
1600000US1767548,"Sandwich city, Illinois",7633
1600000US1767613,"San Jose village, Illinois",639
1600000US1767756,"Sauget village, Illinois",236
1600000US1767769,"Sauk Village village, Illinois",10572
1600000US1767795,"Saunemin village, Illinois",396
1600000US1767821,"Savanna city, Illinois",2993
1600000US1767860,"Savoy village, Illinois",8551
1600000US1767873,"Sawyerville village, Illinois",265
1600000US1767912,"Saybrook village, Illinois",771
1600000US1767925,"Scales Mound village, Illinois",503
1600000US1768003,"Schaumburg village, Illinois",74427
1600000US1768081,"Schiller Park village, Illinois",11779
1600000US1768120,"Schram City village, Illinois",722
1600000US1768198,"Sciota village, Illinois",73
1600000US1768328,"Scott AFB CDP, Illinois",2913
1600000US1768406,"Scottville village, Illinois",72
1600000US1768458,"Seaton village, Illinois",197
1600000US1768471,"Seatonville village, Illinois",354
1600000US1768510,"Secor village, Illinois",355
1600000US1768640,"Seneca village, Illinois",2569
1600000US1768705,"Sesser city, Illinois",1723
1600000US1768809,"Seymour CDP, Illinois",312
1600000US1768822,"Shabbona village, Illinois",1009
1600000US1768991,"Shannon village, Illinois",679
1600000US1769082,"Shawneetown city, Illinois",1400
1600000US1769147,"Sheffield village, Illinois",811
1600000US1769186,"Shelbyville city, Illinois",4650
1600000US1769212,"Sheldon village, Illinois",1325
1600000US1769277,"Sheridan village, Illinois",2696
1600000US1769342,"Sherman village, Illinois",4492
1600000US1769368,"Sherrard village, Illinois",670
1600000US1769524,"Shiloh village, Illinois",13141
1600000US1769563,"Shipman town, Illinois",584
1600000US1769758,"Shorewood village, Illinois",16809
1600000US1769797,"Shumway village, Illinois",136
1600000US1769810,"Sibley village, Illinois",316
1600000US1769836,"Sidell village, Illinois",528
1600000US1769875,"Sidney village, Illinois",1437
1600000US1769914,"Sigel town, Illinois",388
1600000US1769979,"Silvis city, Illinois",7586
1600000US1770005,"Simpson village, Illinois",98
1600000US1770031,"Sims village, Illinois",194
1600000US1770122,"Skokie village, Illinois",64773
1600000US1770161,"Sleepy Hollow village, Illinois",3325
1600000US1770213,"Smithboro village, Illinois",200
1600000US1770226,"Smithfield village, Illinois",162
1600000US1770252,"Smithton village, Illinois",3953
1600000US1770460,"Somonauk village, Illinois",2133
1600000US1770525,"Sorento village, Illinois",513
1600000US1770564,"South Barrington village, Illinois",4829
1600000US1770590,"South Beloit city, Illinois",7999
1600000US1770629,"South Chicago Heights village, Illinois",4139
1600000US1770720,"South Elgin village, Illinois",22322
1600000US1770759,"Southern View village, Illinois",1704
1600000US1770850,"South Holland village, Illinois",21991
1600000US1770889,"South Jacksonville village, Illinois",3222
1600000US1771175,"South Pekin village, Illinois",1077
1600000US1771240,"South Roxana village, Illinois",2232
1600000US1771370,"South Wilmington village, Illinois",831
1600000US1771422,"Sparland village, Illinois",426
1600000US1771448,"Sparta city, Illinois",4398
1600000US1771474,"Spaulding village, Illinois",923
1600000US1771526,"Spillertown village, Illinois",232
1600000US1771604,"Spring Bay village, Illinois",473
1600000US1771643,"Springerton village, Illinois",118
1600000US1772000,"Springfield city, Illinois",116313
1600000US1772052,"Spring Grove village, Illinois",5847
1600000US1772156,"Spring Valley city, Illinois",5331
1600000US1772221,"Standard village, Illinois",219
1600000US1772234,"Standard City village, Illinois",226
1600000US1772260,"Stanford village, Illinois",733
1600000US1772403,"Staunton city, Illinois",4961
1600000US1772468,"Steeleville village, Illinois",2227
1600000US1772520,"Steger village, Illinois",9505
1600000US1772546,"Sterling city, Illinois",14948
1600000US1772624,"Steward village, Illinois",333
1600000US1772650,"Stewardson village, Illinois",712
1600000US1772676,"Stickney village, Illinois",6775
1600000US1772702,"Stillman Valley village, Illinois",1145
1600000US1772780,"Stockton village, Illinois",2017
1600000US1772884,"Stonefort village, Illinois",388
1600000US1772923,"Stone Park village, Illinois",4949
1600000US1772949,"Stonington village, Illinois",900
1600000US1773027,"Stoy village, Illinois",132
1600000US1773040,"Strasburg village, Illinois",530
1600000US1773131,"Strawn village, Illinois",99
1600000US1773157,"Streamwood village, Illinois",40615
1600000US1773170,"Streator city, Illinois",13241
1600000US1773261,"Stronghurst village, Illinois",969
1600000US1773287,"Sublette village, Illinois",465
1600000US1773391,"Sugar Grove village, Illinois",9417
1600000US1773495,"Sullivan city, Illinois",4556
1600000US1773547,"Summerfield village, Illinois",484
1600000US1773638,"Summit village, Illinois",11398
1600000US1773703,"Sumner city, Illinois",3285
1600000US1773943,"Sun River Terrace village, Illinois",480
1600000US1774119,"Swansea village, Illinois",13753
1600000US1774223,"Sycamore city, Illinois",17712
1600000US1774275,"Symerton village, Illinois",117
1600000US1774301,"Table Grove village, Illinois",445
1600000US1774379,"Tallula village, Illinois",463
1600000US1774444,"Tamaroa village, Illinois",602
1600000US1774457,"Tamms village, Illinois",706
1600000US1774470,"Tampico village, Illinois",660
1600000US1774561,"Taylor Springs village, Illinois",542
1600000US1774574,"Taylorville city, Illinois",11027
1600000US1774665,"Tennessee village, Illinois",127
1600000US1774743,"Teutopolis village, Illinois",1638
1600000US1774847,"Thawville village, Illinois",215
1600000US1774860,"Thayer village, Illinois",673
1600000US1774873,"Thebes village, Illinois",452
1600000US1774970,"The Galena Territory CDP, Illinois",1296
1600000US1775081,"Third Lake village, Illinois",1233
1600000US1775107,"Thomasboro village, Illinois",1082
1600000US1775159,"Thompsonville village, Illinois",569
1600000US1775172,"Thomson village, Illinois",521
1600000US1775185,"Thornton village, Illinois",2565
1600000US1775263,"Tilden village, Illinois",798
1600000US1775276,"Tilton village, Illinois",2630
1600000US1775360,"Timberlane village, Illinois",1012
1600000US1775419,"Time village, Illinois",10
1600000US1775484,"Tinley Park village, Illinois",57107
1600000US1775549,"Tiskilwa village, Illinois",911
1600000US1775601,"Toledo village, Illinois",1426
1600000US1775614,"Tolono village, Illinois",2900
1600000US1775653,"Toluca city, Illinois",1281
1600000US1775718,"Tonica village, Illinois",734
1600000US1775757,"Topeka village, Illinois",110
1600000US1775783,"Toulon city, Illinois",1288
1600000US1775809,"Tovey village, Illinois",513
1600000US1775822,"Towanda village, Illinois",440
1600000US1775848,"Tower Hill village, Illinois",720
1600000US1775874,"Tower Lakes village, Illinois",1184
1600000US1775965,"Tremont village, Illinois",1905
1600000US1775991,"Trenton city, Illinois",2639
1600000US1776160,"Trout Valley village, Illinois",512
1600000US1776199,"Troy city, Illinois",10208
1600000US1776225,"Troy Grove village, Illinois",279
1600000US1776407,"Tuscola city, Illinois",4724
1600000US1776511,"Twin Grove CDP, Illinois",1819
1600000US1776615,"Ullin village, Illinois",383
1600000US1776706,"Union village, Illinois",538
1600000US1776771,"Union Hill village, Illinois",53
1600000US1776935,"University Park village, Illinois",7038
1600000US1777005,"Urbana city, Illinois",42141
1600000US1777044,"Ursa village, Illinois",591
1600000US1777148,"Valier village, Illinois",597
1600000US1777187,"Valley City village, Illinois",4
1600000US1777265,"Valmeyer village, Illinois",1232
1600000US1777317,"Vandalia city, Illinois",7013
1600000US1777395,"Varna village, Illinois",447
1600000US1777408,"Venedy village, Illinois",161
1600000US1777460,"Venetian Village CDP, Illinois",3135
1600000US1777473,"Venice city, Illinois",1972
1600000US1777525,"Vergennes village, Illinois",187
1600000US1777551,"Vermilion village, Illinois",291
1600000US1777642,"Vermont village, Illinois",727
1600000US1777681,"Vernon village, Illinois",93
1600000US1777694,"Vernon Hills village, Illinois",26084
1600000US1777707,"Verona village, Illinois",245
1600000US1777720,"Versailles village, Illinois",491
1600000US1777811,"Victoria village, Illinois",308
1600000US1777863,"Vienna city, Illinois",1508
1600000US1777941,"Villa Grove city, Illinois",2356
1600000US1777993,"Villa Park village, Illinois",21867
1600000US1778123,"Viola village, Illinois",932
1600000US1778149,"Virden city, Illinois",3549
1600000US1778175,"Virgil village, Illinois",395
1600000US1778201,"Virginia city, Illinois",1342
1600000US1778227,"Volo village, Illinois",4303
1600000US1778370,"Wadsworth village, Illinois",3670
1600000US1778383,"Waggoner village, Illinois",172
1600000US1778526,"Walnut village, Illinois",1459
1600000US1778604,"Walnut Hill village, Illinois",154
1600000US1778656,"Walshville village, Illinois",39
1600000US1778708,"Waltonville village, Illinois",393
1600000US1778721,"Wamac city, Illinois",1152
1600000US1778773,"Wapella village, Illinois",605
1600000US1778851,"Warren village, Illinois",1264
1600000US1778916,"Warrensburg village, Illinois",1499
1600000US1778929,"Warrenville city, Illinois",13373
1600000US1778942,"Warsaw city, Illinois",1546
1600000US1779007,"Washburn village, Illinois",1043
1600000US1779033,"Washington city, Illinois",16359
1600000US1779085,"Washington Park village, Illinois",3989
1600000US1779124,"Wataga village, Illinois",732
1600000US1779150,"Waterloo city, Illinois",10202
1600000US1779163,"Waterman village, Illinois",1415
1600000US1779228,"Watseka city, Illinois",5359
1600000US1779241,"Watson village, Illinois",797
1600000US1779267,"Wauconda village, Illinois",13776
1600000US1779293,"Waukegan city, Illinois",87999
1600000US1779358,"Waverly city, Illinois",1244
1600000US1779397,"Wayne village, Illinois",2424
1600000US1779436,"Wayne City village, Illinois",1006
1600000US1779449,"Waynesville village, Illinois",406
1600000US1779683,"Weldon village, Illinois",487
1600000US1779735,"Wellington village, Illinois",280
1600000US1779813,"Wenona city, Illinois",1043
1600000US1779826,"Wenonah village, Illinois",42
1600000US1780008,"West Brooklyn village, Illinois",144
1600000US1780047,"Westchester village, Illinois",16687
1600000US1780060,"West Chicago city, Illinois",27385
1600000US1780073,"West City village, Illinois",773
1600000US1780125,"West Dundee village, Illinois",7376
1600000US1780242,"Western Springs village, Illinois",13187
1600000US1780255,"Westervelt CDP, Illinois",76
1600000US1780281,"Westfield village, Illinois",683
1600000US1780333,"West Frankfort city, Illinois",7867
1600000US1780645,"Westmont village, Illinois",25040
1600000US1780736,"West Peoria city, Illinois",4650
1600000US1780762,"West Point village, Illinois",172
1600000US1780853,"West Salem village, Illinois",913
1600000US1780879,"West Union CDP, Illinois",430
1600000US1780931,"Westville village, Illinois",3208
1600000US1780957,"West York CDP, Illinois",82
1600000US1781048,"Wheaton city, Illinois",53577
1600000US1781074,"Wheeler village, Illinois",177
1600000US1781087,"Wheeling village, Illinois",38264
1600000US1781165,"Whiteash CDP, Illinois",271
1600000US1781191,"White City village, Illinois",218
1600000US1781256,"White Hall city, Illinois",2463
1600000US1781295,"White Heath CDP, Illinois",254
1600000US1781802,"Williamsfield village, Illinois",460
1600000US1781815,"Williamson village, Illinois",230
1600000US1781854,"Williamsville village, Illinois",1492
1600000US1781867,"Willisville village, Illinois",624
1600000US1781919,"Willowbrook village, Illinois",8598
1600000US1781938,"Willowbrook CDP, Illinois",2041
1600000US1782010,"Willow Hill village, Illinois",274
1600000US1782049,"Willow Springs village, Illinois",5677
1600000US1782075,"Wilmette village, Illinois",27393
1600000US1782088,"Wilmington village, Illinois",96
1600000US1782101,"Wilmington city, Illinois",5845
1600000US1782218,"Wilsonville village, Illinois",672
1600000US1782270,"Winchester city, Illinois",1662
1600000US1782309,"Windsor village, Illinois",890
1600000US1782322,"Windsor city, Illinois",1319
1600000US1782400,"Winfield village, Illinois",9641
1600000US1782491,"Winnebago village, Illinois",3252
1600000US1782530,"Winnetka village, Illinois",12504
1600000US1782543,"Winslow village, Illinois",334
1600000US1782686,"Winthrop Harbor village, Illinois",6807
1600000US1782725,"Witt city, Illinois",875
1600000US1782855,"Wonder Lake village, Illinois",4253
1600000US1782985,"Wood Dale city, Illinois",13897
1600000US1783063,"Woodhull village, Illinois",838
1600000US1783102,"Woodland village, Illinois",378
1600000US1783206,"Woodlawn village, Illinois",628
1600000US1783245,"Woodridge village, Illinois",33447
1600000US1783271,"Wood River city, Illinois",10326
1600000US1783336,"Woodson village, Illinois",377
1600000US1783349,"Woodstock city, Illinois",25340
1600000US1783505,"Worden village, Illinois",1122
1600000US1783518,"Worth village, Illinois",10780
1600000US1783622,"Wyanet village, Illinois",1064
1600000US1783687,"Wyoming city, Illinois",1328
1600000US1783739,"Xenia village, Illinois",502
1600000US1783765,"Yale village, Illinois",132
1600000US1783817,"Yates City village, Illinois",773
1600000US1784038,"Yorkville city, Illinois",18691
1600000US1784155,"Zeigler city, Illinois",1903
1600000US1784220,"Zion city, Illinois",24157
1600000US1800140,"Aberdeen CDP, Indiana",1602
1600000US1800640,"Advance town, Indiana",409
1600000US1800748,"Akron town, Indiana",1388
1600000US1800784,"Alamo town, Indiana",47
1600000US1800802,"Albany town, Indiana",2083
1600000US1800820,"Albion town, Indiana",2363
1600000US1800910,"Alexandria city, Indiana",5045
1600000US1800964,"Alfordsville town, Indiana",58
1600000US1801270,"Alton town, Indiana",39
1600000US1801288,"Altona town, Indiana",323
1600000US1801342,"Ambia town, Indiana",252
1600000US1801360,"Amboy town, Indiana",343
1600000US1801396,"Americus CDP, Indiana",394
1600000US1801450,"Amo town, Indiana",595
1600000US1801468,"Anderson city, Indiana",54986
1600000US1801612,"Andrews town, Indiana",961
1600000US1801666,"Angola city, Indiana",8636
1600000US1801954,"Arcadia town, Indiana",1302
1600000US1802044,"Argos town, Indiana",1859
1600000US1802116,"Arlington CDP, Indiana",434
1600000US1802458,"Ashley town, Indiana",1062
1600000US1802602,"Atlanta town, Indiana",881
1600000US1802620,"Attica city, Indiana",3246
1600000US1802674,"Auburn city, Indiana",13004
1600000US1802782,"Aurora city, Indiana",3770
1600000US1802800,"Austin city, Indiana",3960
1600000US1802872,"Avilla town, Indiana",2332
1600000US1802890,"Avoca CDP, Indiana",893
1600000US1802908,"Avon town, Indiana",16479
1600000US1803142,"Bainbridge town, Indiana",765
1600000US1803394,"Bargersville town, Indiana",6919
1600000US1803610,"Bass Lake CDP, Indiana",1409
1600000US1803664,"Batesville city, Indiana",6389
1600000US1803718,"Battle Ground town, Indiana",1717
1600000US1804114,"Bedford city, Indiana",13292
1600000US1804204,"Beech Grove city, Indiana",14943
1600000US1804888,"Berne city, Indiana",4002
1600000US1804978,"Bethany town, Indiana",99
1600000US1805158,"Beverly Shores town, Indiana",614
1600000US1805176,"Bicknell city, Indiana",2964
1600000US1805374,"Birdseye town, Indiana",468
1600000US1805662,"Blanford CDP, Indiana",233
1600000US1805716,"Bloomfield town, Indiana",2327
1600000US1805788,"Bloomingdale town, Indiana",309
1600000US1805860,"Bloomington city, Indiana",83636
1600000US1805896,"Blountsville town, Indiana",101
1600000US1806220,"Bluffton city, Indiana",9823
1600000US1806616,"Boonville city, Indiana",6379
1600000US1806634,"Borden town, Indiana",1108
1600000US1806652,"Boston town, Indiana",137
1600000US1806706,"Boswell town, Indiana",732
1600000US1806760,"Bourbon town, Indiana",1840
1600000US1807174,"Brazil city, Indiana",8384
1600000US1807318,"Bremen town, Indiana",4548
1600000US1807624,"Bright CDP, Indiana",5326
1600000US1807750,"Bristol town, Indiana",1706
1600000US1807966,"Brook town, Indiana",1052
1600000US1808038,"Brooklyn town, Indiana",1447
1600000US1808092,"Brooksburg town, Indiana",109
1600000US1808146,"Brookston town, Indiana",1393
1600000US1808182,"Brookville town, Indiana",2543
1600000US1808416,"Brownsburg town, Indiana",24625
1600000US1808470,"Brownstown town, Indiana",2952
1600000US1808578,"Bruceville town, Indiana",454
1600000US1808704,"Bryant town, Indiana",225
1600000US1808812,"Buck Creek CDP, Indiana",166
1600000US1808992,"Buffalo CDP, Indiana",915
1600000US1809136,"Bunker Hill town, Indiana",514
1600000US1809226,"Burket town, Indiana",166
1600000US1809244,"Burlington town, Indiana",549
1600000US1809316,"Burnettsville town, Indiana",449
1600000US1809352,"Burns City CDP, Indiana",165
1600000US1809370,"Burns Harbor town, Indiana",1452
1600000US1809532,"Butler city, Indiana",2763
1600000US1809622,"Butlerville CDP, Indiana",224
1600000US1809712,"Cadiz town, Indiana",231
1600000US1809874,"Cambridge City town, Indiana",1980
1600000US1809910,"Camden town, Indiana",632
1600000US1810000,"Campbellsburg town, Indiana",613
1600000US1810036,"Canaan CDP, Indiana",89
1600000US1810090,"Cannelburg town, Indiana",175
1600000US1810108,"Cannelton city, Indiana",1622
1600000US1810198,"Carbon town, Indiana",503
1600000US1810270,"Carlisle town, Indiana",678
1600000US1810342,"Carmel city, Indiana",88595
1600000US1810612,"Carthage town, Indiana",849
1600000US1810954,"Cayuga town, Indiana",1179
1600000US1811044,"Cedar Grove town, Indiana",216
1600000US1811062,"Cedar Lake town, Indiana",12024
1600000US1811746,"Center Point town, Indiana",258
1600000US1811836,"Centerville town, Indiana",2579
1600000US1811944,"Chalmers town, Indiana",426
1600000US1812034,"Chandler town, Indiana",3450
1600000US1812124,"Charlestown city, Indiana",8079
1600000US1812376,"Chesterfield town, Indiana",2499
1600000US1812412,"Chesterton town, Indiana",14052
1600000US1812574,"Chrisney town, Indiana",546
1600000US1812610,"Churubusco town, Indiana",1873
1600000US1812628,"Cicero town, Indiana",4880
1600000US1812880,"Clarksburg CDP, Indiana",184
1600000US1812898,"Clarks Hill town, Indiana",734
1600000US1812934,"Clarksville town, Indiana",21228
1600000US1813276,"Clay City town, Indiana",771
1600000US1813312,"Claypool town, Indiana",479
1600000US1813366,"Clayton town, Indiana",998
1600000US1813438,"Clear Lake town, Indiana",472
1600000US1813492,"Clermont town, Indiana",1361
1600000US1813582,"Clifford town, Indiana",188
1600000US1813780,"Clinton city, Indiana",4752
1600000US1813852,"Cloverdale town, Indiana",1669
1600000US1814032,"Coalmont CDP, Indiana",190
1600000US1814050,"Coatesville town, Indiana",621
1600000US1814176,"Colburn CDP, Indiana",325
1600000US1814284,"Colfax town, Indiana",693
1600000US1814464,"Collegeville CDP, Indiana",598
1600000US1814716,"Columbia City city, Indiana",9057
1600000US1814734,"Columbus city, Indiana",46926
1600000US1814932,"Connersville city, Indiana",13022
1600000US1814986,"Converse town, Indiana",1139
1600000US1815115,"Cordry Sweetwater Lakes CDP, Indiana",1108
1600000US1815220,"Corunna town, Indiana",290
1600000US1815256,"Corydon town, Indiana",3116
1600000US1815364,"Country Club Heights town, Indiana",119
1600000US1815409,"Country Squire Lakes CDP, Indiana",3235
1600000US1815490,"Covington city, Indiana",2365
1600000US1815634,"Crandall town, Indiana",169
1600000US1815652,"Crane town, Indiana",235
1600000US1815742,"Crawfordsville city, Indiana",16075
1600000US1815994,"Cromwell town, Indiana",437
1600000US1816084,"Crothersville town, Indiana",1633
1600000US1816138,"Crown Point city, Indiana",28952
1600000US1816156,"Crows Nest town, Indiana",90
1600000US1816300,"Culver town, Indiana",1261
1600000US1816336,"Cumberland town, Indiana",5566
1600000US1816534,"Cynthiana town, Indiana",572
1600000US1816624,"Dale town, Indiana",1552
1600000US1816642,"Daleville town, Indiana",1595
1600000US1816732,"Dana town, Indiana",556
1600000US1816804,"Danville town, Indiana",9598
1600000US1816840,"Darlington town, Indiana",860
1600000US1816858,"Darmstadt town, Indiana",1299
1600000US1817002,"Dayton town, Indiana",1619
1600000US1817074,"Decatur city, Indiana",9502
1600000US1817110,"Decker town, Indiana",289
1600000US1817614,"Delphi city, Indiana",3057
1600000US1817722,"De Motte town, Indiana",3992
1600000US1817776,"Denver town, Indiana",508
1600000US1817812,"Deputy CDP, Indiana",10
1600000US1818190,"Dillsboro town, Indiana",1624
1600000US1818550,"Dover Hill CDP, Indiana",29
1600000US1818658,"Dresser CDP, Indiana",13
1600000US1818766,"Dublin town, Indiana",694
1600000US1818784,"Dubois CDP, Indiana",173
1600000US1818892,"Dugger town, Indiana",893
1600000US1818982,"Dune Acres town, Indiana",173
1600000US1819054,"Dunkirk city, Indiana",2277
1600000US1819072,"Dunlap CDP, Indiana",6110
1600000US1819162,"Dunreith town, Indiana",151
1600000US1819180,"Dupont town, Indiana",303
1600000US1819270,"Dyer town, Indiana",16077
1600000US1819450,"Earl Park town, Indiana",402
1600000US1819486,"East Chicago city, Indiana",28728
1600000US1819576,"East Enterprise CDP, Indiana",438
1600000US1819756,"East Germantown town, Indiana",331
1600000US1820080,"Eaton town, Indiana",1845
1600000US1820152,"Economy town, Indiana",133
1600000US1820332,"Edgewood town, Indiana",1960
1600000US1820404,"Edinburgh town, Indiana",4796
1600000US1820458,"Edwardsport town, Indiana",341
1600000US1820638,"Elberfeld town, Indiana",691
1600000US1820674,"Elizabeth town, Indiana",189
1600000US1820692,"Elizabethtown town, Indiana",517
1600000US1820728,"Elkhart city, Indiana",52662
1600000US1820800,"Ellettsville town, Indiana",6542
1600000US1820998,"Elnora town, Indiana",617
1600000US1821070,"Elwood city, Indiana",8458
1600000US1821124,"Emison CDP, Indiana",172
1600000US1821214,"English town, Indiana",680
1600000US1821502,"Etna Green town, Indiana",575
1600000US1822000,"Evansville city, Indiana",119806
